gre,gpa,rank,sex,age,nationality,admission
700,3.83,2,m,21,Korea,불합격
720,3.64,1,m,19,Korea,합격
800,3.9,2,f,19,Korea,불합격
580,2.93,2,f,19,Korea,불합격
660,3.44,2,f,19,China,합격
660,3.33,2,f,19,Korea,불합격
640,3.52,4,m,19,Korea,불합격
480,3.57,2,f,19,Korea,불합격
700,2.88,2,m,19,Korea,불합격
400,3.31,3,m,19,Korea,불합격
340,3.15,3,f,19,Korea,불합격
580,3.57,3,f,19,Korea,불합격
380,3.33,4,f,19,Korea,불합격
540,3.94,3,f,19,Korea,불합격
660,3.95,2,m,19,Korea,합격
740,2.97,2,f,19,Korea,합격
700,3.56,1,m,19,Japan,합격
480,3.13,2,m,19,Korea,불합격
400,2.93,3,f,19,Korea,불합격
480,3.45,2,m,19,China,불합격
680,3.08,4,m,19,China,불합격
420,3.41,4,m,19,China,불합격
360,3,3,m,19,China,불합격
600,3.22,1,m,19,China,불합격
720,3.84,3,f,19,Korea,불합격
620,3.99,3,f,19,Korea,불합격
440,3.45,2,f,19,Korea,합격
700,3.72,2,f,19,Korea,불합격
800,3.7,1,m,19,Korea,합격
340,2.92,3,f,19,Korea,불합격
520,3.74,2,m,19,Korea,합격
480,2.67,2,m,19,Korea,합격
520,2.85,3,f,19,Korea,불합격
500,2.98,3,m,19,Korea,불합격
720,3.88,3,m,19,Korea,불합격
540,3.38,4,m,19,Korea,불합격
600,3.54,1,m,19,Korea,합격
740,3.74,4,m,19,Korea,불합격
540,3.19,2,f,19,Korea,불합격
460,3.15,4,f,19,Korea,불합격
620,3.17,2,f,19,Mongol,합격
640,2.79,2,f,19,Korea,불합격
580,3.4,2,m,19,Korea,불합격
500,3.08,3,f,19,Korea,불합격
560,2.95,2,m,18,Korea,불합격
500,3.57,3,m,18,Korea,불합격
560,3.33,4,f,18,Korea,불합격
700,4,3,f,18,Korea,불합격
620,3.4,2,f,18,Korea,불합격
600,3.58,1,f,20,Korea,합격
640,3.93,2,m,20,Korea,불합격
700,3.52,4,f,19,Korea,합격
620,3.94,4,m,19,Korea,불합격
580,3.4,3,m,19,Korea,불합격
580,3.4,4,f,19,Mongol,불합격
380,3.43,3,m,19,Korea,불합격
480,3.4,2,m,19,Korea,불합격
560,2.71,3,m,19,Korea,불합격
480,2.91,1,m,19,Vietnam,합격
740,3.31,1,m,19,Korea,불합격
800,3.74,1,f,19,Korea,합격
400,3.38,2,f,19,Korea,불합격
640,3.94,2,f,19,Korea,합격
580,3.46,3,f,19,Korea,불합격
620,3.69,3,m,19,Vietnam,불합격
580,2.86,4,f,19,Korea,합격
560,2.52,2,m,19,Vietnam,불합격
480,3.58,1,m,20,Korea,합격
660,3.49,2,f,18,Vietnam,불합격
700,3.82,3,f,18,Korea,불합격
600,3.13,2,m,20,Korea,불합격
640,3.5,2,m,18,Korea,불합격
700,3.56,2,f,18,Vietnam,합격
520,2.73,2,f,21,Korea,불합격
580,3.3,2,m,19,Korea,불합격
700,4,1,f,19,Korea,불합격
440,3.24,4,m,19,Korea,불합격
720,3.77,3,m,19,Korea,불합격
500,4,3,m,19,Korea,불합격
600,3.62,3,m,19,Korea,불합격
400,3.51,3,m,20,Korea,불합격
540,2.81,3,f,18,Korea,불합격
680,3.48,3,f,18,Korea,불합격
800,3.43,2,f,20,Korea,합격
500,3.53,4,f,18,Korea,불합격
620,3.37,2,f,18,Korea,합격
520,2.62,2,f,21,Korea,불합격
620,3.23,3,m,22,Korea,합격
620,3.33,3,f,20,Korea,불합격
300,3.01,3,m,18,Korea,불합격
620,3.78,3,m,18,Korea,불합격
500,3.88,4,m,21,Korea,불합격
700,4,2,m,19,Korea,불합격
540,3.84,2,m,19,Korea,합격
500,2.79,4,f,19,Korea,불합격
800,3.6,2,f,17,Korea,불합격
560,3.61,3,f,19,Korea,불합격
580,2.88,2,f,19,Korea,불합격
560,3.07,2,m,19,Korea,불합격
500,3.35,2,f,17,Korea,불합격
640,2.94,2,m,19,Korea,합격
800,3.54,3,m,19,Korea,불합격
640,3.76,3,m,19,Korea,불합격
380,3.59,4,m,19,Korea,불합격
600,3.47,2,m,20,Korea,합격
560,3.59,2,f,18,Korea,불합격
660,3.07,3,f,18,Korea,불합격
400,3.23,4,m,20,Korea,합격
600,3.63,3,m,18,Korea,불합격
580,3.77,4,m,18,Korea,불합격
800,3.31,3,m,21,Korea,불합격
580,3.2,2,m,22,Korea,합격
700,4,1,f,20,Korea,합격
420,3.92,4,f,18,Vietnam,불합격
600,3.89,1,f,18,Vietnam,합격
780,3.8,3,f,21,Japan,합격
740,3.54,1,m,19,Japan,불합격
640,3.63,1,f,19,Korea,합격
540,3.16,3,m,19,Korea,불합격
580,3.5,2,m,17,Korea,불합격
740,3.34,4,f,19,Korea,불합격
580,3.02,2,f,19,Korea,불합격
460,2.87,2,f,18,Korea,불합격
640,3.38,3,f,18,Korea,불합격
600,3.56,2,m,21,Korea,합격
660,2.91,3,f,22,Korea,합격
340,2.9,1,m,20,Korea,불합격
,3.64,1,m,18,Korea,합격
460,2.98,1,f,18,Korea,불합격
560,3.59,2,m,21,Korea,합격
540,3.28,3,m,22,Korea,불합격
680,3.99,3,m,22,Korea,불합격
480,3.02,1,m,18,Korea,합격
800,3.47,3,m,18,Korea,불합격
800,2.9,2,f,21,Korea,불합격
720,3.5,3,f,19,Korea,합격
620,3.58,2,f,19,Korea,불합격
540,3.02,4,f,19,Korea,불합격
480,3.43,2,m,19,Korea,불합격
720,3.42,2,f,19,Korea,합격
580,3.29,4,m,19,Korea,불합격
600,3.28,3,m,17,Korea,불합격
380,3.38,2,m,19,Korea,불합격
420,2.67,3,m,19,Korea,불합격
800,3.53,1,m,19,Korea,합격
620,3.05,2,f,19,Korea,불합격
660,3.49,2,f,19,Korea,합격
480,4,2,m,19,Korea,불합격
500,2.86,4,m,19,Korea,불합격
700,3.45,3,m,19,Korea,불합격
440,2.76,2,m,19,Korea,불합격
520,3.81,1,m,19,Korea,합격
680,2.96,3,f,18,Korea,합격
620,3.22,2,f,19,Korea,불합격
540,3.04,1,f,19,Korea,불합격
800,3.91,3,m,18,Korea,불합격
680,3.34,2,m,19,Korea,불합격
440,3.17,2,m,19,Korea,불합격
680,3.64,3,m,19,Korea,불합격
640,3.73,3,m,19,Korea,불합격
660,3.31,4,f,19,Korea,불합격
620,3.21,4,f,19,Korea,불합격
520,4,2,f,19,Korea,합격
540,3.55,4,f,19,Korea,합격
740,3.52,4,m,19,Korea,합격
640,3.35,3,f,19,Korea,불합격
520,3.3,2,m,19,Japan,합격
620,3.95,3,m,19,China,합격
520,3.51,2,f,18,Korea,불합격
640,3.81,2,f,19,Korea,불합격
680,3.11,2,f,19,Korea,불합격
440,3.15,2,f,18,Korea,불합격
520,3.19,3,m,19,Korea,합격
620,3.95,3,f,19,Korea,합격
520,3.9,3,m,19,Korea,합격
380,3.34,3,m,19,Korea,불합격
560,3.24,4,f,19,Korea,불합격
600,3.64,3,m,19,Korea,합격
680,3.46,2,m,19,Korea,합격
500,2.81,3,m,19,Korea,불합격
640,3.95,2,m,19,Korea,합격
540,3.33,3,m,19,Korea,불합격
680,3.67,2,f,19,Korea,합격
660,3.32,1,f,19,Korea,불합격
520,3.12,2,f,18,Korea,불합격
600,2.98,2,f,19,Korea,합격
460,3.77,3,m,19,Korea,불합격
580,3.58,1,f,18,Korea,합격
680,3,4,m,19,Korea,합격
660,3.14,2,m,19,Korea,합격
660,3.94,2,f,19,Korea,불합격
360,3.27,3,m,19,Korea,불합격
660,3.45,4,m,19,Korea,불합격
520,3.1,4,m,19,Korea,불합격
440,3.39,2,m,19,Korea,합격
600,3.31,4,m,19,Korea,불합격
800,3.22,1,f,19,Korea,합격
660,3.7,4,f,19,Korea,합격
800,3.15,4,f,19,Korea,불합격
420,2.26,4,f,19,Korea,불합격
620,3.45,2,m,18,Korea,합격
800,2.78,2,f,19,Korea,불합격
680,3.7,2,m,19,Korea,불합격
800,3.97,1,m,18,Korea,불합격
480,2.55,1,f,19,Korea,불합격
520,3.25,3,f,19,Korea,불합격
560,3.16,1,f,19,Korea,불합격
460,3.07,2,f,19,Korea,불합격
540,3.5,2,m,19,Korea,불합격
720,3.4,3,f,19,Korea,불합격
640,3.3,2,m,19,Korea,불합격
660,3.6,3,m,19,Korea,합격
400,3.15,2,f,19,Korea,합격
680,3.98,2,m,18,Korea,합격
220,2.83,3,m,19,Korea,불합격
580,3.46,4,m,19,Korea,불합격
540,3.17,1,m,18,Korea,합격
580,3.51,2,m,19,Korea,불합격
540,3.13,2,f,19,Korea,불합격
440,2.98,3,f,19,Korea,불합격
560,4,3,f,19,Korea,불합격
660,3.67,2,f,19,Korea,불합격
660,3.77,3,m,19,Korea,불합격
520,3.65,4,f,19,Korea,합격
540,3.46,4,m,19,Korea,불합격
300,2.84,2,m,19,Korea,합격
340,3,2,f,19,Korea,합격
780,3.63,4,m,19,Korea,합격
480,3.71,4,f,19,Korea,합격
540,3.28,1,m,18,Korea,불합격
460,3.14,3,m,19,Korea,불합격
460,3.58,2,f,19,Korea,불합격
500,3.01,4,m,18,Korea,불합격
420,2.69,2,m,19,Korea,불합격
520,2.7,3,m,19,Korea,불합격
680,3.9,1,m,19,Korea,불합격
680,3.31,2,m,19,Korea,불합격
560,3.48,2,f,19,Korea,합격
580,3.34,2,f,19,Korea,불합격
500,2.93,4,f,19,Korea,불합격
740,4,3,f,19,Korea,불합격
660,3.59,3,m,19,Korea,불합격
420,2.96,1,f,18,Korea,불합격
560,3.43,3,m,19,Korea,불합격
460,3.64,3,m,19,Korea,합격
620,3.71,1,f,18,Korea,합격
520,3.15,3,f,19,Korea,불합격
620,3.09,4,m,19,Korea,불합격
540,3.2,1,m,19,Korea,불합격
660,3.47,3,f,19,Korea,합격
500,3.23,4,f,19,Korea,불합격
560,2.65,3,m,19,Korea,합격
500,3.95,4,f,19,Korea,불합격
580,3.06,2,m,19,Korea,불합격
520,3.35,3,m,19,Korea,불합격
500,3.03,3,m,19,Korea,불합격
600,3.35,2,m,19,Korea,불합격
580,3.8,2,m,19,Korea,불합격
400,3.36,2,f,18,Korea,불합격
620,2.85,2,f,19,Korea,불합격
780,4,2,f,19,Korea,합격
620,3.43,3,f,18,Korea,불합격
580,3.12,3,f,19,Korea,합격
700,3.52,2,f,18,Korea,불합격
540,3.78,2,m,20,Korea,합격
760,2.81,1,f,18,Korea,합격
700,3.27,2,m,18,Korea,불합격
720,3.31,1,m,21,Japan,불합격
560,3.69,3,m,22,Mongol,합격
720,3.94,3,m,20,Mongol,불합격
520,4,1,m,18,India,합격
540,3.49,1,f,18,India,합격
680,3.14,2,f,21,India,불합격
460,3.44,2,f,19,India,불합격
560,3.36,1,f,19,India,합격
480,2.78,3,m,19,India,불합격
460,2.93,3,f,19,India,불합격
620,3.63,3,m,19,India,불합격
580,4,1,m,19,India,불합격
800,3.89,2,m,18,India,불합격
540,3.77,2,m,18,India,합격
680,3.76,3,m,21,India,합격
680,2.42,1,f,22,India,합격
620,3.37,1,f,20,India,합격
560,3.78,2,m,18,India,불합격
560,3.49,4,m,18,India,불합격
620,3.63,2,m,20,India,불합격
800,4,2,m,18,Korea,합격
640,3.12,3,m,18,Korea,불합격
540,2.7,2,f,21,Korea,불합격
700,3.65,2,f,22,Korea,불합격
540,3.49,2,f,20,Korea,합격
540,3.51,2,f,18,Korea,불합격
660,4,1,m,18,Korea,불합격
480,2.62,2,f,21,Korea,합격
420,3.02,1,m,19,Korea,불합격
740,3.86,2,m,19,Korea,합격
580,3.36,2,f,19,Korea,불합격
640,3.17,2,f,19,Korea,불합격
640,3.51,2,f,19,Korea,불합격
800,3.05,2,f,19,Korea,합격
660,3.88,2,m,18,Korea,합격
600,3.38,3,f,18,Korea,합격
620,3.75,2,m,21,Korea,합격
460,3.99,3,m,22,Korea,합격
620,4,2,f,20,Korea,불합격
560,3.04,3,m,18,Korea,불합격
460,2.63,2,m,19,Korea,불합격
700,,2,m,19,Korea,불합격
600,3.89,3,m,19,Korea,불합격
